#{"t_start": 1693147490.012485, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-47,150,852.358438
-23,44,852.547241
-19,78,852.877952
-19,42,853.060086
-160,195,853.933444
-36,52,854.163599
-45,477,856.220322
-20,57,856.468486
-24,62,856.741193
-1078.0,1010,861.447131
-99,181,862.266078
-199,350,863.851587
-177,221,864.843827
-55,150,865.504189
-100,119,866.03821
-33,78,866.384955
-23,69,866.688883
-35,39,866.866032
-69,102,867.331882
-59,137,867.942844
-39,117,868.460118
-32,89,868.856874
-58.0,32,869.001296
-37,70,869.313412
-291,314,870.768203
-31,45,870.973011
-47,101,871.422543
-26,58,871.692326
-72,104,872.165748
-33,98,872.603641
-27,29,872.73612
-68.0,80,873.103085
-26,92,873.512224
-37,75,873.844766
-197,354,875.430816
-155.0,196,876.321407
-24,41,876.503465
-79,121,877.045451
-57,112,877.545823
-19,134,878.127524
-115,139,878.752486
-428.0,197,879.643569
-96,98,880.090096
-25,100,880.542596
-26,52,880.7768
-630.0,289,882.121138
-166.0,389,883.871024
-594.0,590,886.612787
-61,80,886.980072
-20,97,887.410613
-22,111,887.900018
-25,94,888.313779
-60,72,888.639612
-85,124,889.198063
-19,82,889.557764
-88,96,890.005625
-57,106,890.480636
-40,65,890.771782
-17,68,891.066211
-53,87,891.458716
-19,184,892.263595
-52,154,892.937084
-32,59,893.202527
-68,232,915.957701
-72,85,916.325097
-103,167,917.034028
-34,76,917.349191
-66,92,917.741629
-56,65,918.030249
-59,103,918.478158
-194,258,919.625336
-23,249,920.719332
-55,154,921.399696
-25,48,921.612792
-29,183,922.414551
-21,29,922.54534
-37.0,135,923.137709
-61,97,923.575797
-212,244,924.69875
-51,119,925.234945
-26,90,925.635666
-21,30,925.771799
-40,133,926.362209
-18,205,927.264977
-200.0,124,927.826245
-31.0,34,927.980866
-121.0,134,928.604118
-23,219,929.581925
-19,44,929.778137
-20,33,929.927758
-89,157,930.637902
-37,105,931.112648
-20,33,931.261454
-25,138,931.872793
-50,460,933.914689
-42,44,934.119199
-25,189,934.956003
-40,97,935.39097
-56.0,49,935.614656
-48,61,935.892349
-24,68,936.197598
-25,35,936.356168
-19,117,936.872634
-32,83,937.244174
-20,63,937.524576
-233,272,938.793653
-35,51,939.029538
-21,30,939.168341
-102,106,939.670168
-44,65,939.968447
-24,100,940.418407
-84,228,941.447119
-22,70,941.760741
-38,49,941.987903
-30,136,942.596709
-27,36,943.398741
-31,380,945.084223
-41,104,945.549805
-22,54,945.791599
-25,26,945.91027
-102,169,946.67635
-34,56,946.930021
-18,90,947.330999
-35,94,948.396882
-642.0,204,949.34108
-23,87,949.731647
-18,63,950.020629
-35,41,950.211637
-22,156,950.906974
-34,161,951.626647
-96,114,952.150157
-25,95,952.576097
-35,84,952.964532
-141,159,953.698721
-58,251,954.816184
-104,111,955.323362
-191,300,956.690289
-23,32,956.836163
-22,49,957.056296
-39,117,957.591503
-65,188,958.434245
-82,190,959.290872
-56,117,959.816099
-29,87,960.203576
-113,135,960.824925
-86,242,961.899013
-19,222,985.221076
-79.0,216,986.113865
-20,60,986.366997
-20,85,986.72467
-116,163,987.440285
-27,102,987.875897
-48,145,988.500598
-20,33,989.301867
-23,101,989.76755
-38,84,990.150942
-22,47,990.365062
-66,331,991.835248
-33,91,992.240583
-1328.0,371,994.631714
-21,23,994.743323
-74,77,995.109481
-44,113,995.623686
-190.0,95,996.049473
-33,37,996.217775
-67,117,996.745888
-30,50,996.97062
-138,156,997.679004
-61,213,998.606714
-99.0,231,999.625668
-20,140,1000.236861
-20,27,1000.355557
-21,53,1000.584767
-18,78,1000.920096
-82,109,1001.410173
-19,54,1001.647828
-1315.0,1044,1006.527688
-31,47,1006.73809
-1199.0,1006,1011.374034
-36,105,1011.845913
-85,129,1012.425333
-40,64,1012.723363
-39,92,1013.134635
-426,625,1015.97032
-86,235,1017.021359
-71,172,1017.804739
-1532.0,1419,1024.525416
-43,61,1024.813435
-17,34,1024.969802
-474,506,1027.335122
-18,54,1027.576998
-82.0,84,1027.965969
-26,42,1028.155461
-32,102,1028.61477
-88,96,1029.060484
-24,205,1029.972035
-56,82,1030.348575
-25,112,1030.849033
-38,78,1052.913839
-281.0,327,1054.297893
-497,524,1056.61792
-171,286,1057.896438
-26,68,1058.195381
-21,33,1058.343215
-49,81,1058.696304
-20,132,1059.260147
-21,168,1059.981292
-214,301,1061.342645
-21,78,1061.696106
-21.0,61,1061.966304
-17,167,1062.70418
-156,339,1064.258024
-65,93,1064.677767
-46,156,1065.378302
-23,50,1065.603482
-39,48,1065.818714
-325.0,381,1067.565934
-70.0,85,1067.951851
-24,57,1068.210057
-68,123,1068.773415
-58.0,45,1068.98138
-26,136,1069.587907
-49,126,1070.151779
-64,131,1070.75555
-51,143,1071.404872
-84,242,1072.486691
-90,144,1073.129996
-25,52,1073.364878
-21,374,1075.010494
-55,68,1075.333041
-19,45,1075.534315
-159,230,1076.593722
-59,94,1077.021324
-62,96,1077.464621
-22,31,1077.604456
-54,85,1077.98952
-19,54,1078.23122
-63,124,1078.796292
-17,242,1079.871179
-246.0,255,1081.045975
-49,206,1081.960164
-60,135,1082.563708
-18,19,1082.652452
-214,231,1083.713839
-49,87,1084.10411
-25,27,1084.228371
-33,36,1084.405648
-168,185,1085.274704
-20,62,1085.555659
-644.0,616,1088.471977
-212,345,1090.083571
-38,71,1090.40898
-72,76,1090.763595
-22,282,1092.011506
-81,195,1092.889314
-76,203,1093.804371
-178,133,1094.40912
-155,156,1095.140636
-21,212,1096.079981
-52,112,1096.584824
-55,61,1096.865257
-113,396,1120.336868
-126,134,1120.916134
-27,30,1121.043068
-21,60,1121.285355
-225,285,1122.52967
-18,28,1122.651639
-36,158,1123.312109
-131,165,1124.044003
-19,69,1124.34848
-294.0,226,1125.39056
-134,174,1126.180144
-55,183,1126.98129
-141.0,172,1127.767432
-43,70,1128.078018
-27,53,1128.317784
-34,166,1129.066097
-46,124,1129.617157
-102,156,1130.346718
-174,585,1132.909494
-688.0,604,1135.721382
-55.0,125,1136.289524
-39,108,1136.770629
